회사명,상장일,시장,산업분류,AI분류,구태그,평가방법,적용멀티플,분류근거,주요제품
피코그램,2021-11-03,코스닥,소비재/유통,비AI,,PER,14.03,[자동확정(키워드 0건)|high] 투자설명서 전문에 AI·인공지능·머신러닝 등 관련 언급 없음,"정수기, 정수기 필터"
카카오페이,2021-11-03,유가증권,IT/소프트웨어,비AI,,PER,20.1,"[에이전트 판정(투설 원문 스니펫)|high] 핵심 가치제안은 간편결제·금융 플랫폼. AI는 산업 동향, 타사(Upstart) 사례, 내부 보조기능(FDS 등) 수준. | 근거: ""인공지능(AI), 머신러닝... 첨단 기술의 발전과 더불어 금융소비자들의 생활 양식의 변화가"" / ""데이터 기반 AI/ML 애플리케이션 구축 - FDS / 안면인증 eKYC""","간편결제, 간편송금 및 기타 금융서비스"
지니너스,2021-11-08,코스닥,바이오/헬스케어,AI관련,,PER,13.87,"[에이전트 판정(투설 원문 스니펫)|low] 유전체 진단 서비스의 변이해석에 자체 AI를 적용해 경쟁우위로 제시. 다만 다수 스니펫이 외부 'AI업체'와의 협력 서술이라 low. | 근거: ""AI 기반 변이 해석 및 자체 한국인 DB를 통한 개인 맞춤형 정밀의료 서비스를 제공"" / ""ThermoFisher사에 비해 AI기반 변이해석 및 관련 프리미엄 서비스를 동시에 제공""","NGS기반 조직생검 암유전체 동반진단(CancerSCAN), 액체생검 암유전체 동반진단(LiquidSCAN), 단일세포분석(Celinus) 등"
비트나인,2021-11-10,코스닥,IT/소프트웨어,비AI,,PER,21.72,"[에이전트 판정(투설 원문 스니펫)|high] 제품은 그래프DB. AI는 적용처(고객 프로젝트)·시장 동향·연구원 직함으로만 등장, 자사 제품 원리가 아님. | 근거: AI 시대가 도래함에 따라 대용량 데이터 분석의 필요성이 더욱 중요해짐을 인식하여 / 자금세탁방지 AI 시스템 구축 400","그래프데이터베이스, 그래프분석서비스"
디어유,2021-11-10,코스닥,IT/소프트웨어,비AI,,PER,53.46,"[에이전트 판정(투설 원문 스니펫)|high] 팬 메시징 플랫폼. AI 언급은 경쟁사·비교기업 설명과 향후 아이템 구상에 그침. | 근거: ""㈜엔씨소프트의 유니버스는 AI기술과 결합된"" / ""손 글씨체로 인공지능폰트를 제작하여... 판매하거나""","모바일 어플리케이션(DearU bubble, Lysn)"
지오엘리먼트,2021-11-11,코스닥,기계/장비,비AI,,PER,12.81,"[에이전트 판정(투설 원문 스니펫)|high] AI는 전방(반도체) 수요 전망과 비교기업 설명뿐. 센서·캐니스터 제품은 AI 무관. | 근거: ""장기적으로는 인공지능(AI)분야, 데이터센터, 5G... 반도체에 대한 수요는 크게 증가할 것""","센서, 캐니스터"
아이티아이즈,2021-11-11,코스닥,IT/소프트웨어,AI관련,,PER,23.71,"[에이전트 판정(투설 원문 스니펫)|high] AI/빅데이터 서비스가 매출의 절반을 차지하고 우리은행 AI 시장예측 시스템 등 자체 구축 실적 보유. | 근거: ""신기술인 AI·Big Data를 적용한 금융 솔루션을 개발하며, 당사의 시장 내 경쟁력을 유지"" / ""용역매출_AI/big data 서비스...49.24%""","디지털금융솔루션 제공 및  AI, Big Data 서비스, 클라우드 통합 플랫폼 (GURMWI)"
트윔,2021-11-17,코스닥,IT/소프트웨어,AI관련,Y,PER,32.54,"[에이전트 판정(투설 원문 스니펫)|high] 자체 개발 AI 머신비전 검사 SW/장비가 주력이며 AI-base 매출이 이미 과반. 전형적 AI 비전 검사장비사 | 근거: ""AI 검사 소프트웨어인 MOAI를 자체 개발하고... AI-base 검사기로 사업영역을 확장"" / ""2021년부터 AI-base 사업 부문의 매출액이 기존의 Rule-base 사업 부문 매출액을 상회""",AI 기반 스마트팩토리 검사 소프트웨어 및 설비
바이옵트로,2021-11-18,코스닥,기계/장비,비AI,,PER,18.02,"[에이전트 판정(투설 원문 스니펫)|low] 주력 PCB 전기검사기는 Vision·계측 기반이며 AI 언급 대부분 전방산업 전망. 사업개요에 'AI기반 Robot system 공급' 1회 언급되나 근거 빈약해 low. | 근거: ""Vision 및 계측기술을 활용한 반도체 substrate 검사장비 제조 및 AI기반 Robot system 공급을 주업으로""",인쇄회로기판(PCB) 전기검사기
알비더블유,2021-11-22,코스닥,엔터/미디어/게임,비AI,,PER,34.3,"[에이전트 판정(투설 원문 스니펫)|high] AI 언급이 음악 산업 동향(스포티파이 큐레이션)과 비교기업(뷰노) 설명뿐. 음반·콘텐츠 제작은 AI 무관. | 근거: ""그 중심에는 인공지능(AI)과 빅데이터를 활용한 큐레이션으로... Spotify(스포티파이)가 큰 영향""",음반 및 음원 등(콘텐츠)
마인즈랩,2021-11-23,코스닥,IT/소프트웨어,순수AI,Y,PER,35.39,"[에이전트 판정(투설 원문 스니펫)|high] 주요제품 자체가 종합 인공지능 엔진·플랫폼(AI Human, AICC). AI가 곧 매출원인 순수 AI 기업. | 근거: AI Human Recognition 연구개발 300 600 1,000 / AI Human을 구성하는 기술 중 Recognition에 해당하는 기술",종합 인공지능 엔진 및 플랫폼
툴젠,2021-12-10,코스닥,바이오/헬스케어,비AI,,PER,30.61,[자동확정(키워드 0건)|high] 투자설명서 전문에 AI·인공지능·머신러닝 등 관련 언급 없음,유전자교정 플랫폼 관련 제품
케이티비네트워크,2021-12-16,코스닥,금융,비AI,,스팩합병상장,11.19,[자동확정(키워드 0건)|high] 투자설명서 전문에 AI·인공지능·머신러닝 등 관련 언급 없음,"창업투자금융, 벤처기업투자 등"
오토앤,2022-01-20,코스닥,자동차/모빌리티,비AI,,PER,35.6,"[에이전트 판정(투설 원문 스니펫)|high] 차량용품 유통이 본업. AI는 향후 플랫폼 구상과 비교기업 표 언급뿐. | 근거: ""빅 데이터를 구축하고 AI를 통해 초개인화 정보, 상품 및 서비스를 제공하는 플랫폼을 구축하고자 합니다""",자동차 지급품 및 애프터마켓 제품
케이옥션,2022-01-24,코스닥,소비재/유통,비AI,,PER,24.04,"[에이전트 판정(투설 원문 스니펫)|high] AI 언급이 최대주주의 투자처 설명과 임원 학력(LLM 학위)뿐. 미술품 경매업은 AI 무관. | 근거: ""머신러닝 및 AI기반 협동로봇을 개발하는 회사로, 당사 최대주주인 티에이어드바이저가 3.9%의 지분을 투자목적으로 보유""",미술품 경매 및 판매
애드바이오텍,2022-01-24,코스닥,바이오/헬스케어,비AI,,PER,21.15,"[에이전트 판정(투설 원문 스니펫)|high] AI는 조류인플루엔자(Avian Influenza) 의미의 키워드 오탐. 인공지능 무관. | 근거: ""반복적으로 발병하는 ASF 및 AI 기타 유행성 질병"" / ""빈번한 AI 및 ASF, 구제역 발생에 따른 소독제 매출 증가율 반영""","동물용약품,영양제,단미사료(네오폐녹스),보조사료 제조,도매/식품첨가물,화장품 도소매,무역"
LG에너지솔루션,2022-01-27,유가증권,2차전지/에너지,비AI,,EV/EBITDA,82.5,"[에이전트 판정(투설 원문 스니펫)|high] AI 언급 1건이 그룹 계열사 사업 소개. 2차전지 제품과 무관 | 근거: ""LG그룹은 파워트레인, 자동차센서, 통신모듈, 인공지능 구동 통신 시스템 등 다양한 전기차 부품을""","2차전지 (소형,ESS,자동차전지)"
스코넥,2022-02-04,코스닥,엔터/미디어/게임,비AI,Y,PER,30.2,"[에이전트 판정(투설 원문 스니펫)|high] XR/VR 콘텐츠가 주력. AI는 게임 NPC 부가기능·기술향상 방향 및 비교기업 매출구성 나열에 그침. | 근거: ""NPC AI 지능 기술 향상 - 메타버스 세계에서만 존재하는 AI 캐릭터의 지능 향상""","XR 교육/훈련 시스템, VR 게임 콘텐츠 등"
이지트로닉스,2022-02-04,코스닥,2차전지/에너지,비AI,,PER,32.55,"[에이전트 판정(투설 원문 스니펫)|low] 전력변환장치가 본업이며 AI 언급 대부분이 '향후' 융복합 기술 방향·개발 중 서술. 인공지능 제어알고리즘이 현재 제품 핵심이라는 근거 부족. | 근거: ""소프트웨어 기술은 향후 AI/자율주행차와 신재생에너지에 접목되기 위한 필수조건으로 인공지능 제어알고리즘 개발로... 경쟁력을 강화""",전력변환장치
아셈스,2022-02-07,코스닥,화학/소재,비AI,,PER,19.39,"[에이전트 판정(투설 원문 스니펫)|high] AI 언급은 접착필름의 전방 적용처(AI 스피커) 나열뿐. 소재 제품은 비AI. | 근거: 스마트워치, 노트북, 무선이어폰, AI 스피커 등 다양한 제품, 산업으로 확장되면서",핫멜트 접착 필름
나래나노텍,2022-02-08,코스닥,기계/장비,비AI,,PER,16.6,[자동확정(키워드 0건)|high] 투자설명서 전문에 AI·인공지능·머신러닝 등 관련 언급 없음,"디스플레이 장비 (포토, 코팅, 모듈 장비)"
인카금융서비스,2022-02-16,코스닥,금융,비AI,,PER,12.33,"[에이전트 판정(투설 원문 스니펫)|high] 보험 판매(GA)가 본업. AI 설계사는 자회사의 향후 개발 계획(신규사업). | 근거: ""공모자금 중 일부를 자회사인 (주)에인에 대한 증자를 통해 AI 설계사 플랫폼 개발에 사용할 계획""",보험 판매
바이오에프디엔씨,2022-02-21,코스닥,바이오/헬스케어,비AI,,PER,28.85,"[에이전트 판정(투설 원문 스니펫)|high] AI 언급이 산업 동향·국가 정책 서술에 그침. 식물세포 유래 물질 제품은 AI 무관. | 근거: ""BT, 빅데이터 및 AI 관련 기술을 융합하여 그린바이오 산업을... 육성하기 위한 국가적 연구 지원이 기대""",식물세포 유래 유효물질 및 약리물질
퓨런티어,2022-02-23,코스닥,기계/장비,비AI,,PER,31.92,"[에이전트 판정(투설 원문 스니펫)|high] 스니펫 전부가 비교기업 매출구성 나열. 자사 카메라모듈 장비의 AI 서술 없음. | 근거: ""(주)씨이랩 어플라이언스 (57.11%), AI용역 (24.8%)"" / ""라온피플(주) AI 머신비전 솔루션 (53.55%)""","전장카메라모듈장비, 모바일카메라모듈장비, PC및 광원"
브이씨,2022-02-24,코스닥,소비재/유통,비AI,,PER,17.56,"[에이전트 판정(투설 원문 스니펫)|low] 제품 핵심은 거리측정(GPS/레이저)이며 V.AI는 부가기능, 자체 AI 스윙분석 플랫폼은 개발중. 다만 자체 AI 모델 보유로 경계선 | 근거: ""V.AI 기능은... 코스 프리뷰를 자동 재생해서"" / ""AI 영상분석을 통한 골프 스윙자세 코칭 플랫폼을 개발하고 있습니다""",골프용 거리측정기
스톤브릿지벤처스,2022-02-25,코스닥,금융,비AI,,PER,10.7,"[에이전트 판정(투설 원문 스니펫)|high] 벤처캐피탈. AI는 투자 포트폴리오 섹터이자 유망산업 전망일 뿐 자사 기술 아님. | 근거: ""AI: 수아랩, 인터마인즈, 딥서치 등"" / ""향후 인공지능(AI) 관련 산업이 유망할 것으로 전망하고""","창업투자, 사모투자"
풍원정밀,2022-02-28,코스닥,반도체/디스플레이,비AI,,PER,21.54,[자동확정(키워드 0건)|high] 투자설명서 전문에 AI·인공지능·머신러닝 등 관련 언급 없음,OLED 증착용 Metal Mask
비씨엔씨,2022-03-03,코스닥,반도체/디스플레이,비AI,,PER,24.8,"[에이전트 판정(투설 원문 스니펫)|high] AI 언급이 전방 반도체 산업 수요 전망뿐. 합성쿼츠 소모품은 AI 무관. | 근거: ""인공지능(AI) 구현이 중앙화된 클라우드에서 엣지로 변화하고... 신수요가 창출되면서 반도체"" (시장 전망)",반도체용 합성쿼츠 포커스링
노을,2022-03-03,코스닥,바이오/헬스케어,AI관련,,PER,19.18,"[에이전트 판정(투설 원문 스니펫)|high] 체외진단 플랫폼 miLab의 판독이 자체 AI 진단 알고리즘으로 구현. SW/AI개발본부가 핵심 조직. | 근거: AI 기반 말라리아 진단 알고리즘 개발 - 혈구 분할, 분류 알고리즘 개발 / 신영민 인공지능 진단 알고리즘 연구개발",융복합 체외진단 플랫폼
모아데이타,2022-03-10,코스닥,IT/소프트웨어,순수AI,Y,PER,27.4,"[에이전트 판정(투설 원문 스니펫)|high] AI 이상탐지·예측 솔루션(AIOps) 자체가 주력 제품이자 매출원. | 근거: ""인공지능 기술 기반 이상탐지 전문 기업"" / ""AI 본부 이상 탐지/예측 알고리즘 연구 개발""",인공지능 기반 ICT 시스템 이상탐지 및 예측 솔루션
유일로보틱스,2022-03-18,코스닥,기계/장비,비AI,Y,PER,40.33,"[에이전트 판정(투설 원문 스니펫)|low] 주력(취출로봇·사출장비)은 비AI 하드웨어. AI 예지예측·Vision AI는 협업 개발 진행 중인 스마트팩토리 확장 사업이라 경계선. | 근거: ""데이터 분석 AI 예지예측 시스템 및 Vision 검출 AI 시스템... 개발 및 Vision AI 사례 구축을 위한 사업"" / ""숭실대와 협업하여... 알고리즘을 개발하며""","취출로봇, 사출장비 및 자동화시스템"
공구우먼,2022-03-23,코스닥,소비재/유통,비AI,,PER,20.6,"[에이전트 판정(투설 원문 스니펫)|high] 타사 AI 시스템 단순 도입 사례. 의류 제품 자체는 AI 무관. | 근거: ""당사에서 사용 중인 외부 AI 프로그램을 통해 고객이 원하는 제품 정보를 고객 맞춤형으로 제공"" / ""외부 AI 시스템을 도입하여 고객 맞춤형 상품 제안""",플러스사이즈 여성용 의류 및 잡화
세아메카닉스,2022-03-24,코스닥,화학/소재,비AI,,PER,22.02,"[에이전트 판정(투설 원문 스니펫)|high] 머신러닝 언급은 국책과제 내 공정 최적화 방법론. 다이캐스팅 부품 제품은 AI 무관 | 근거: ""전산모사 및 통계적 기계학습 최적화, leak tight를 만족하는 공법 안정화""","TV스탠드, 전기 수소차 부품 등"
지투파워,2022-04-01,코스닥,2차전지/에너지,AI관련,,PER,22.45,"[에이전트 판정(투설 원문 스니펫)|high] 주력 CMD 수배전반의 부분방전 진단이 자체 AI 신경망 알고리즘으로 구현, 제품 핵심 구성요소로 명시. | 근거: ""동사의 인공지능(AI) 진단기법은 동사 CMD 제품을 구성하는 핵심 구성 요소"" / ""인공지능(AI) 신경망 알고리즘을 통한 부분방전진단 기술""","수·배전반, 태양광발전시스템, 인버터(PCS)"
포바이포,2022-04-28,코스닥,엔터/미디어/게임,AI관련,,PER,12.8,"[에이전트 판정(투설 원문 스니펫)|high] 자체 개발 딥러닝 화질개선 솔루션 PIXELL이 콘텐츠 상품화·플랫폼 사업의 핵심 기술로 서술되고 관련 특허 보유. 수익성 기여도 명시. | 근거: ""당사가 개발한 AI 화질개선 솔루션인 PIXELL을 통해 구현"" / ""AI기반 딥러닝 화질 개선 솔루션 PIXELL은 딥러닝 알고리즘 모델""",광고영화 및 비디오물 제작업
대명에너지,2022-05-16,코스닥,건설/인프라,비AI,,PER,22.18,[에이전트 판정(투설 원문 스니펫)|high] AI는 향후 O&M 고도화 계획·연구과제 기대효과 수준. 신재생 발전 공사업은 비AI. | 근거: AI를 통한 고장예측 시스템을 확보하여 발전소의 가동률 향상에 기여하고자 합니다,신재생에너지 발전 공사 및 용역
가온칩스,2022-05-20,코스닥,반도체/디스플레이,AI관련,,PER,36.42,"[에이전트 판정(투설 원문 스니펫)|high] AI 가속기 등 AI 연산 전용 반도체 설계가 자사 사업이며 AI 부문 제품매출 실재. | 근거: ""자율 주행 차량용 \""인공지능(AI) 가속기 프로젝트\""(삼성 8nm)의 주관 기업으로 선정"" / ""인공지능(AI) 4,404... 제품매출""",설계 솔루션 및 주문형 반도체
청담글로벌,2022-06-03,코스닥,소비재/유통,비AI,,PER,30.95,"[에이전트 판정(투설 원문 스니펫)|high] AI 언급이 향후 물류 인프라 구축 계획(타 기술 도입)뿐. 화장품 유통업은 AI 무관. | 근거: ""효율적인 물류를 위하여 AI 및 로봇을 이용한 물류자동화 시스템을 구축할 계획""",글로벌 화장품 유통
범한퓨얼셀,2022-06-17,코스닥,2차전지/에너지,비AI,,EV/EBITDA,35.61,[자동확정(키워드 0건)|high] 투자설명서 전문에 AI·인공지능·머신러닝 등 관련 언급 없음,"잠수함용 연료전지모듈, 건물용 연료전지 시스템, 수소충전소 구축"
비플라이소프트,2022-06-20,코스닥,IT/소프트웨어,AI관련,Y,PER,28.61,"[에이전트 판정(투설 원문 스니펫)|low] 자체 AI 분석 서비스(위고몬)를 이미 제공 중이나 주력 매출은 비AI 아이서퍼로 AI가 확장축이라 low. | 근거: ""AI 알고리즘을 접목한 위고몬 서비스를 제공중에 있습니다"" / ""보다 심도있는 AI분석서비스를 원하는 잠재고객을 타겟""","아이서퍼, 위고몬 등"
위니아에이드,2022-06-23,코스닥,기타,비AI,,PER,12.41,"[에이전트 판정(투설 원문 스니펫)|high] AI는 서비스 대행 대상 제품군 확장 계획과 물류산업 동향 서술뿐 | 근거: ""IoT제품, 모빌리티제품, AI제품군까지 서비스대행업무를 확장하고자""","전자제품 소매, 물류주선, 서비스대행"
보로노이,2022-06-24,코스닥,바이오/헬스케어,AI관련,,PER,26.94,"[에이전트 판정(투설 원문 스니펫)|high] 매출원은 신약 파이프라인 기술이전이나, 후보물질 도출 핵심 역량이 자체 AI 플랫폼(보로노믹스)으로 구현. | 근거: ""자체 인공지능(AI) 기반 신약 개발 플랫폼인 보로노믹스를 통해 다양한 파이프라인을 경쟁사대비 빠르게 개발""",표적치료제
레이저쎌,2022-06-24,코스닥,기계/장비,비AI,,PER,15.94,"[에이전트 판정(투설 원문 스니펫)|high] AI 언급이 전방 반도체 시장 동향뿐. 레이저 본딩 장비 자체는 AI 무관. | 근거: ""최근 반도체 시장은 AI와 5G, IoT, 자율주행, HPC 등의 기술발달로 디바이스가 처리해야하는 데이터 수요가 폭증""","에어리어 레이저솔루션, LSR, LCB, LSB, BSOM 등"
넥스트칩,2022-07-01,코스닥,반도체/디스플레이,AI관련,,PER,24.55,"[에이전트 판정(투설 원문 스니펫)|high] 자사 ADAS SoC가 NPU 내장 AI 연산 전용 설계. AI 인식 반도체가 주력 제품. | 근거: ISP는 물론 CPU, NPU 및 AI 기능을 H/W 즉, 하나의 시스템 반도체로 구현 / 최대 6TOPS, 3TOPS NPU를 내장하여 인공지능 네트워크 연산 성능 확보","차량 및 자율주행차용 비메모리 반도체(ISP, AHD, ADAS/AD)"
코난테크놀로지,2022-07-07,코스닥,IT/소프트웨어,순수AI,Y,PER,27.94,"[에이전트 판정(투설 원문 스니펫)|high] AI 검색엔진·영상인식 솔루션이 주력 제품 그 자체. 공모자금도 AI R&D·GPU팜에 투입. | 근거: ""AI for Human Language Understanding과 AI for Video Understanding의 기술 경쟁력""","AI 기반 검색엔진(Konan Search), AI기반 영상인식 솔루션(D: Watcher)"
영창케미칼,2022-07-14,코스닥,화학/소재,비AI,,PER,18.25,"[에이전트 판정(투설 원문 스니펫)|high] AI는 전방(반도체) 산업 수요 전망에 그침. 화학소재 제품은 AI 무관. | 근거: ""5G, 인공 지능(AI), 자율 주행 자동차 등의 반도체 수요 분야의 확대 발전""",반도체 및 디스플레이용 화학소재
HPSP,2022-07-15,코스닥,기계/장비,비AI,,PER,16.6,[자동확정(키워드 0건)|high] 투자설명서 전문에 AI·인공지능·머신러닝 등 관련 언급 없음,고압 수소 어닐링 장비
루닛,2022-07-21,코스닥,IT/소프트웨어,순수AI,Y,PER,34.82,"[에이전트 판정 + 총괄 보정|high] 의료 AI 진단 SW(Lunit INSIGHT/SCOPE) 판매가 본업 — 제품=AI SW (경계 일관성 보정) | 근거: ""당사가 주된 사업으로 영위하는 의료 인공지능 솔루션은 최신 컴퓨터공학 기술을"" / ""바이오마커 판독 보조를 위한 Lunit SCOPE 제품군(AI-assisted detection)""",Lunit INSIGHT
성일하이텍,2022-07-28,코스닥,화학/소재,비AI,,PER,31.6,[자동확정(키워드 0건)|high] 투자설명서 전문에 AI·인공지능·머신러닝 등 관련 언급 없음,"코발트, 니켈, 리튬 등"
에이프릴바이오,2022-07-28,코스닥,바이오/헬스케어,비AI,,PER,29.58,"[에이전트 판정(투설 원문 스니펫)|high] AI 언급은 외부 보고서 출처 표기뿐. 항체의약품 개발과 무관 | 근거: ""출처: 한국보건산업진흥원, '인공지능(AI)을 활용한 신약개발 국내외 현황과 과제' (2020)""",항체의약품 및 재조합 단백질 의약품
아이씨에이치,2022-07-29,코스닥,소비재/유통,비AI,,PER,12.62,"[에이전트 판정(투설 원문 스니펫)|high] 필름형 안테나 제조사. ML은 제조 검사공정 recipe 적용 1건뿐, 제품 자체는 AI 무관. | 근거: ""Display Film Sheet 자동 검사 에 ML(Machine Learning : AI concept) recipe 적용 및 상용화""",스마트기기용 필름형 안테나
수산인더스트리,2022-08-01,유가증권,건설/인프라,비AI,,PER,14.7,"[에이전트 판정(투설 원문 스니펫)|high] 발전설비 정비 용역이 본업. AI 언급은 전부 연구과제 신청·기획 단계의 향후 R&D 계획. | 근거: ""AI를 활용한 Smart 진단/정비 기술 개발... 고장 예지 시스템 개발 신청"" / ""인공지능기반 APR-1400 원자로보호계통 고장예측모델 개발... 신청""",전력발전설비 정비 용역
새빗켐,2022-08-04,코스닥,화학/소재,비AI,,PER,28.26,[자동확정(키워드 0건)|high] 투자설명서 전문에 AI·인공지능·머신러닝 등 관련 언급 없음,"폐전지재활용소재, 폐산재활용"
에이치와이티씨,2022-08-09,코스닥,화학/소재,비AI,,PER,25.95,[자동확정(키워드 0건)|high] 투자설명서 전문에 AI·인공지능·머신러닝 등 관련 언급 없음,2차전지 장비 초정밀 부품
대성하이텍,2022-08-22,코스닥,기계/장비,비AI,,PER,15.2,[에이전트 판정(투설 원문 스니펫)|high] AI 언급은 신규 개발과제 1건(향후 R&D). 공작기계·정밀부품은 비AI. | 근거: 듀얼 주축을 장착한 AI-IoT기반 지능형 4축제어 터닝센터 개발 2021/04 ∼2023/12,"정밀부품, 스위스턴 자동선반, 컴팩트 머시닝센터"
쏘카,2022-08-22,유가증권,기타,비AI,,PER,7.7,"[에이전트 판정(투설 원문 스니펫)|low] 카셰어링 서비스가 본업. 자체 AI/ML은 수요예측·파손감지 등 운영 효율화 도구로 서비스 자체는 AI 없이 성립. | 근거: ""인공지능(AI) 및 머신러닝(ML) 기술을 적극 활용하여 차량의 가동률을 높이고"" / ""이미지를 AI/ML 모델을 통하여 처리해 차량 손상 여부... 판독""","카셰어링, 모빌리티 플랫폼 등"
오픈엣지테크놀로지,2022-09-26,코스닥,IT/소프트웨어,AI관련,,PER,38.52,"[에이전트 판정(투설 원문 스니펫)|high] NPU·신경망 연산장치 등 AI 연산 전용 반도체 IP 설계가 주력 제품. AI 전용 설계 기준에 정확히 해당. | 근거: ""글로벌 유일의 AI 반도체 통합 IP 솔루션 제공업체"" / ""고효율 신경망 연산장치 IP 제품이 결합된 AI Platform IP Solution 제품군""",시스템 반도체 IP
알피바이오,2022-09-29,코스닥,바이오/헬스케어,비AI,,PER,11.19,[자동확정(키워드 0건)|high] 투자설명서 전문에 AI·인공지능·머신러닝 등 관련 언급 없음,연질캡슐 제형의 의약품 및 건강기능식품
더블유씨피,2022-09-30,코스닥,2차전지/에너지,비AI,,EV/EBITDA,42.69,[자동확정(키워드 0건)|high] 투자설명서 전문에 AI·인공지능·머신러닝 등 관련 언급 없음,이차전지용 분리막
선바이오,2022-10-05,코스닥,바이오/헬스케어,비AI,,PER,29.57,[자동확정(키워드 0건)|high] 투자설명서 전문에 AI·인공지능·머신러닝 등 관련 언급 없음,"PEG유도체 제품 (62%), 기술료수입 (38%)"
이노룰스,2022-10-07,코스닥,IT/소프트웨어,비AI,,PER,23.51,"[에이전트 판정(투설 원문 스니펫)|high] 주력은 룰엔진(BRMS) 자동화 SW. AI는 향후 R&D 과제·비교기업 나열 수준. | 근거: ""InnoAI 인공지능과 InnoRules 기반의 데이터 학습 및 예측 시스템 2023.10 ~ 2025.09"" / ""AI, 클라우드를 적용한 제품 고도화를 위한 연구개발을 집중적으로 진행""","InnoRules, InnoProduct"
모델솔루션,2022-10-07,코스닥,기계/장비,비AI,,PER,33.38,"[에이전트 판정(투설 원문 스니펫)|high] AI는 향후 계획(CAD/CAM AI화)과 타사 제품 언급뿐. 프로토타입 제조업 본질은 비AI | 근거: ""설계 및 디자인 도면을 빅데이터화 하여 향후 CAD/CAM의 AI화를 추진함으로써""","하이엔드 프로토타입 제조, 다품종 소량생산 서비스"
오에스피,2022-10-14,코스닥,소비재/유통,비AI,,PER,23.92,[자동확정(키워드 0건)|high] 투자설명서 전문에 AI·인공지능·머신러닝 등 관련 언급 없음,프리미엄 반려동물 사료
에스비비테크,2022-10-17,코스닥,기계/장비,비AI,,PER,27.8,"[에이전트 판정(투설 원문 스니펫)|high] 베어링·감속기 부품사. AI 언급은 전방 로봇시장 전망 1건. | 근거: ""각 사용 환경에 적합한 자동화, 로봇, 인공지능이 적용될 것이며""","베어링, 감속기"
탑머티리얼,2022-10-18,코스닥,2차전지/에너지,비AI,,PER,29.3,[자동확정(키워드 0건)|high] 투자설명서 전문에 AI·인공지능·머신러닝 등 관련 언급 없음,"이차전지 시스템 엔지니어링, 전극소재, 양극소재"
샤페론,2022-10-19,코스닥,바이오/헬스케어,비AI,,PER,29.16,[자동확정(키워드 0건)|high] 투자설명서 전문에 AI·인공지능·머신러닝 등 관련 언급 없음,합성신약 및 항체치료제신약 기술제품 및 기술이전
핀텔,2022-10-20,코스닥,IT/소프트웨어,순수AI,Y,PER,20.5,"[에이전트 판정(투설 원문 스니펫)|high] AI 영상분석 솔루션 자체가 주력 제품이자 매출원. 공모자금도 AI 연구개발·GPU팜·학습데이터에 투입. 전형적인 'AI를 파는 회사'. | 근거: ""당사의 사업 분야인 AI 영상분석을 통한 교통 및 방범 솔루션"" / ""스마트교통 분야의 AI 영상분석 솔루션 기업으로서 지위를 공고화""",AI 영상 분석 솔루션 및 소프트웨어
플라즈맵,2022-10-21,코스닥,바이오/헬스케어,비AI,,PER,24.3,[자동확정(키워드 0건)|high] 투자설명서 전문에 AI·인공지능·머신러닝 등 관련 언급 없음,플라즈마 멸균기 및 표면처리기기
산돌,2022-10-27,코스닥,IT/소프트웨어,비AI,,PER,25.4,"[에이전트 판정(투설 원문 스니펫)|high] AI는 공모자금으로 향후 인수·확보할 기술(신사업 구상). 폰트 제품 자체는 비AI. | 근거: 공모를 통해 조달하는 자금을 ... IP컨텐츠 확보, AI/플랫폼 솔루션 기술 확보",리테일 폰트 등
저스템,2022-10-28,코스닥,기계/장비,비AI,,PER,16.25,[자동확정(키워드 0건)|high] 투자설명서 전문에 AI·인공지능·머신러닝 등 관련 언급 없음,반도체 습도제어 System
큐알티,2022-11-02,코스닥,반도체/디스플레이,비AI,,PER,23.79,"[에이전트 판정(투설 원문 스니펫)|high] 반도체 신뢰성 검사 서비스. AI 언급은 전방 반도체 수요·시장 전망에 국한. | 근거: ""자율주행이나 AI분야 확대되면서 기계의 오동작이... 시스템이 점차 증가""",반도체 신뢰성 검사 및 종합분석
뉴로메카,2022-11-04,코스닥,기계/장비,AI관련,Y,PER,30.41,"[에이전트 판정(투설 원문 스니펫)|high] 자체 딥러닝 충돌감지·비전이 협동로봇 제품의 안전·제어 핵심 기술로 서술됨(AI 기반 로봇 제어). | 근거: ""딥러닝 충돌감지 신경망 - 딥러닝 비전 알고리즘 - 3D 빈피킹 딥러닝 비전센서"" / ""안전지능 임계치 기반 정지 AI 기반 정지""","협동로봇, 협동로봇 자동화 플랫폼, 로봇제어기 등"
제이아이테크,2022-11-04,코스닥,화학/소재,비AI,,PER,15.71,"[에이전트 판정(투설 원문 스니펫)|high] AI 언급이 전방 반도체 수요 전망에 그침. 프리커서 소재는 비AI. | 근거: ""메모리반도체 수요는 5G, AI 등이 견인하나"" / ""빅데이터, IoT, 인공지능의 발전...에 따른 반도체 수요 증가에 기인하여 낙관적인 성장""",반도체 프리커서 및 쿼츠/블랭크/포토마스크용 케이스
